"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","1995-M01","1995-M02","1995-M03","1995-M04","1995-M05","1995-M06","1995-M07","1995-M08","1995-M09","1995-M10","1995-M11","1995-M12","1996-M01","1996-M02","1996-M03","1996-M04","1996-M05","1996-M06","1996-M07","1996-M08","1996-M09","1996-M10","1996-M11","1996-M12","1997-M01","1997-M02","1997-M03","1997-M04","1997-M05","1997-M06","1997-M07","1997-M08","1997-M09","1997-M10","1997-M11","1997-M12","1998-M01","1998-M02","1998-M03","1998-M04","1998-M05","1998-M06","1998-M07","1998-M08","1998-M09","1998-M10","1998-M11","1998-M12","1999-M01","1999-M02","1999-M03","1999-M04","1999-M05","1999-M06","1999-M07","1999-M08","1999-M09","1999-M10","1999-M11","1999-M12","2000-M01","2000-M02","2000-M03","2000-M04","2000-M05","2000-M06","2000-M07","2000-M08","2000-M09","2000-M10","2000-M11","2000-M12"
"IMF.STA:ER(4.0.1)","TWN.USD_XDC.PA_RT.M","OBS_VALUE","Taiwan Province of China","US Dollar per domestic currency","Period average","Monthly","Units","0.03801558639042007","0.03797516424258535","0.03832739258748227","0.03934374631152378","0.03916040100250627","0.03879728419010669","0.0380952380952381","0.03672420124862284","0.03647106021372041","0.0371540033438603","0.03669455452810803","0.03662332906061161","0.03648569760653824","0.03639407504458274","0.03648436644897661","0.03680123652154712","0.03659384491528525","0.03615067601764153","0.03629105425512611","0.03637554108617366","0.03637289491870658","0.03635306092773011","0.03636892638929299","0.03636760373858966","0.03642854540818185","0.03630950219672488","0.03632005230087531","0.03621876131836291","0.03601267646211466","0.03587057895114427","0.03574492422076065","0.03483713638738896","0.03495525727069351","0.03401360544217687","0.03161855376735068","0.03092337188447028","0.02954209748892171","0.03048966400390268","0.0307919694543663","0.03032508491023775","0.02988107332815395","0.02902926149558755","0.02910022116168083","0.02882841328413284","0.02892848877574636","0.03028284174186906","0.03075219878221293","0.0309674222717701","0.03100967501860581","0.03071724773460298","0.03019961948479449","0.03040160520475481","0.03052875809012089","0.03078533386694579","0.03098565364236359","0.03125","0.03144555202666583","0.03147920798312714","0.03151095005514416","0.03163355687713527","0.03246647836109217","0.03254996419503939","0.0325743509560572","0.03279763857002296","0.03253196265330687","0.03245910153206959","0.0323185314459311","0.03217503217503218","0.03205847465777578","0.03141788934619372","0.0308413520848754","0.03022609116189094"
"IMF.STA:ER(4.0.1)","PHL.USD_XDC.PA_RT.M","OBS_VALUE","Philippines","US Dollar per domestic currency","Period average","Monthly","Units","0.0406135901195258","0.03995493083801472","0.03867125565567114","0.03844970778222086","0.03868576711941909","0.03894960699846539","0.03919416790781532","0.03889400993353014","0.03850715462933013","0.03851279009759141","0.03821592763431943","0.03815920018316416","0.03814377150355119","0.03822805327461504","0.03817420416327871","0.03818294978560274","0.03820307993230414","0.03817609870812082","0.03816866734097979","0.03816881302625251","0.03811614752473738","0.03806724960314892","0.03807232218321924","0.03803365978891319","0.03799781892519369","0.03796348671847417","0.03797675063326232","0.03793022356073767","0.03791886122075982","0.03791311073282252","0.03614296712074281","0.03409420228090213","0.03086943771319205","0.02901586877863504","0.0289705601168093","0.02690298246463603","0.02344061320644148","0.02474371695167305","0.02563839606194236","0.02601307937631041","0.02544717040188716","0.02475302667633685","0.02393461064372135","0.02323555039209991","0.02284361943443767","0.02331643668887946","0.02503536244945986","0.02559292406835358","0.02603875086904331","0.02578655437481788","0.02569980570946884","0.02614946511269112","0.02642810893666504","0.02638592047283569","0.02612343847146537","0.02547056875780036","0.0248918449337628","0.02480466327669602","0.02478867653255993","0.02461659650936661","0.02473594379993569","0.02464754017549049","0.02442718256876252","0.02427891618918131","0.02392001148160551","0.023447208609815","0.02255503428365211","0.0222727070248118","0.02186413625729716","0.02078742776368852","0.0200988865216867","0.02004168670835338"
"IMF.STA:ER(4.0.1)","BRN.USD_XDC.PA_RT.M","OBS_VALUE","Brunei Darussalam","US Dollar per domestic currency","Period average","Monthly","Units","0.6885013391351046","0.6878525244187646","0.7040567751383472","0.7150518412584912","0.7174939371762309","0.7168818507021858","0.7150876339895454","0.7087674533985399","0.6973014434139879","0.7023458350891979","0.7077140835102619","0.7069485977674563","0.7035812284528249","0.7078142695356738","0.709622480840193","0.7100255609201931","0.7103281716152863","0.7096627682525264","0.7064641469445426","0.7079144839303412","0.7101264024996449","0.7080999553897028","0.71285999429712","0.7140103103088809","0.7111869710546903","0.7045627483583688","0.6964224777318913","0.6938180808991882","0.6963254903872266","0.7007119233140871","0.689797889218459","0.6682258603407952","0.6588917440864466","0.641972138409193","0.6320273541438873","0.6067961165048544","0.570346542559259","0.6031617740194097","0.6183947708538177","0.6245667068471248","0.6104260774020266","0.5898661003952103","0.585576089757103","0.5701904436081651","0.5792635243551349","0.609570252971655","0.6101653548111538","0.6049533580960908","0.5959226969077571","0.5880554183426246","0.5782385696690741","0.5836212531515548","0.5840098113648309","0.5840712099619186","0.5894453908317664","0.5953444067392987","0.5896574090453447","0.5964807634953773","0.5986590038314176","0.5971468324346274","0.5976393246675631","0.5880623346074684","0.5830223880597015","0.5848979353102884","0.578656821785272","0.5787706910522051","0.5745904606491723","0.5813615487471659","0.5753739930955121","0.5710043967338549","0.572475383558507","0.5759041695461875"
"IMF.STA:ER(4.0.1)","MYS.USD_XDC.PA_RT.M","OBS_VALUE","Malaysia","US Dollar per domestic currency","Period average","Monthly","Units","0.3913894324853229","0.3916960438699569","0.3926187671770711","0.4030957755562722","0.4053999270280131","0.4091820450918614","0.4082965866405357","0.4114379757251594","0.3977297585382636","0.3948854437327731","0.3937472929873607","0.3936387970398362","0.3911353093489162","0.3931435760339676","0.3931281204544561","0.3979545137990728","0.4010427110487267","0.4004324670644296","0.4013485310643763","0.4010427110487267","0.3999040230344717","0.3987558816492543","0.3961337347488512","0.3959141658088526","0.4013646397752358","0.4020423752663531","0.403469840629413","0.3998240774059414","0.3989945337748873","0.3972983710766786","0.3885456735439251","0.3644182063335884","0.3318400530944085","0.3037759348704396","0.2953947951437096","0.2653857381704307","0.2265467479214336","0.2611647949856359","0.267022696929239","0.268182793391976","0.2619584010059203","0.2506831114787797","0.240517593861991","0.2381519409383186","0.2621644295302013","0.2630540576088386","0.2634005004609509","0.2631578947368421","0.2631578947368421","0.2631578947368421","0.2631578947368421","0.2631578947368421","0.2631578947368421","0.2631578947368421","0.2631578947368421","0.2631578947368421","0.2631578947368421","0.2631578947368421","0.2631578947368421","0.2631578947368421","0.2631578947368421","0.2631578947368421","0.2631578947368421","0.2631578947368421","0.2631578947368421","0.2631578947368421","0.2631578947368421","0.2631578947368421","0.2631578947368421","0.2631578947368421","0.2631578947368421","0.2631578947368421"
"IMF.STA:ER(4.0.1)","THA.USD_XDC.PA_RT.M","OBS_VALUE","Thailand","US Dollar per domestic currency","Period average","Monthly","Units","0.039882066328941","0.03996526819702178","0.04039029152722927","0.04072370272844485","0.04054965146257646","0.04053042247985027","0.0404201679352708","0.04008140392713959","0.03980412112927248","0.0398283768547611","0.03974763916587575","0.03974637529983225","0.03953596227928341","0.03961395823552993","0.03963515476490678","0.03956662280230431","0.03956255285459495","0.03944831080370819","0.03945716743925246","0.03956571481832921","0.039426054473622","0.03927709955689714","0.0392947405185674","0.03913278779546283","0.03889804982548685","0.03856752377193052","0.03853898564564297","0.0383859750266727","0.03865540943508317","0.03879171554972216","0.03298153034300792","0.03078722945722114","0.02754669164233376","0.02674154298703035","0.0254439977609282","0.02208090443384561","0.01858390633711206","0.02167316861725184","0.02419444592299392","0.0253318471982977","0.02554147936248468","0.02360494759701633","0.02427773731488225","0.02405233788724264","0.02474634991338778","0.02621857376202449","0.02742434651210305","0.02758012024932429","0.027304499781564","0.02698407130271001","0.02665999811247213","0.0265950373660275","0.02704310671209909","0.02712232167073501","0.02699055330634278","0.02637130801687764","0.02510507099839604","0.02534854245880862","0.02582644628099174","0.02621231979030144","0.02681684097613301","0.02656042496679947","0.02641763641407003","0.02637130801687764","0.02571355104139882","0.02562702277294125","0.02490064642078108","0.02449299500342902","0.02390865364155094","0.02317144295758444","0.0228907857720032","0.02322281595221673"
"IMF.STA:ER(4.0.1)","SGP.USD_XDC.PA_RT.M","OBS_VALUE","Singapore","US Dollar per domestic currency","Period average","Monthly","Units","0.6885013391351046","0.6878525244187646","0.7040567751383472","0.7150518412584912","0.7174939371762309","0.7168818507021858","0.7150876339895454","0.7087674533985399","0.6973014434139879","0.7023458350891979","0.7077140835102619","0.7069485977674563","0.7035812284528249","0.7078142695356738","0.709622480840193","0.7100255609201931","0.7103281716152863","0.7096627682525264","0.7064641469445426","0.7079144839303412","0.7101264024996449","0.7080999553897028","0.71285999429712","0.7140103103088809","0.7111869710546903","0.7045627483583688","0.6964224777318913","0.6938180808991882","0.6963254903872266","0.7007119233140871","0.689797889218459","0.6682258603407952","0.6588917440864466","0.641972138409193","0.6320273541438873","0.6067961165048544","0.570346542559259","0.6031617740194097","0.6183947708538177","0.6245667068471248","0.6104260774020266","0.5898661003952103","0.585576089757103","0.5701904436081651","0.5792635243551349","0.609570252971655","0.6101653548111538","0.6049533580960908","0.5959226969077571","0.5880554183426246","0.5782385696690741","0.5836212531515548","0.5840098113648309","0.5840712099619186","0.5894453908317664","0.5953444067392987","0.5896574090453447","0.5964807634953773","0.5986590038314176","0.5971468324346274","0.5976393246675631","0.5880623346074684","0.5830223880597015","0.5848979353102884","0.578656821785272","0.5787706910522051","0.5745904606491723","0.5813615487471659","0.5753739930955121","0.5710043967338549","0.572475383558507","0.5759041695461875"
